epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,96.8334,1.27816,4.99374,0.25564,1.07514,1.04691,1,0.95173,0.99333,0.67482,0.40876,0.43478,0.22008,0.05902,1.25922,5.01992,0.09291,0.96963,1.10927,0.0018911,0.0018911,0.0018911
57,98.3735,1.2468,4.49264,0.18734,1.06387,1.08307,0.90754,1,0.98633,0.67834,0.39174,0.43478,0.28274,0.07075,1.24516,4.69933,0.10034,0.93409,1.10545,0.00188912,0.00188912,0.00188912
58,99.9018,1.22331,4.81072,0.18121,1.06615,1.07895,0.98593,1,0.995,0.63287,0.55552,0.56522,0.45251,0.10989,1.27552,4.69957,0.10993,0.82838,1.09912,0.00188714,0.00188714,0.00188714
59,101.437,1.47241,4.95829,0.24126,1.14357,1.11418,0.98284,1,0.995,0.62575,0.46046,0.52174,0.32819,0.07095,1.39864,4.97079,0.09265,0.83164,1.11313,0.00188516,0.00188516,0.00188516
60,103.098,1.35363,4.59372,0.23386,1.06609,1.0874,0.99197,0.95652,0.99333,0.63824,0.59926,0.65024,0.48141,0.12841,1.28673,4.70786,0.09883,0.78846,1.08185,0.00188318,0.00188318,0.00188318
61,104.627,1.30957,4.47908,0.20391,1.03963,1.0768,0.93821,0.86957,0.97071,0.63099,0.5143,0.47826,0.39038,0.08187,1.25648,4.84622,0.08254,0.84923,1.06525,0.0018812,0.0018812,0.0018812
62,106.158,1.27984,4.53438,0.17986,1.02592,1.07841,0.98783,1,0.995,0.64962,0.68682,0.69565,0.57933,0.16906,1.26694,4.42058,0.06721,0.87655,1.05762,0.00187922,0.00187922,0.00187922
63,107.733,1.23123,4.52287,0.17368,0.95871,1.01006,0.98111,1,0.995,0.67326,0.72488,0.73913,0.62193,0.19711,1.27037,3.97618,0.08997,0.87567,1.05214,0.00187724,0.00187724,0.00187724
64,109.276,1.23948,4.40348,0.17144,0.98432,1.03419,1,0.97637,0.995,0.68451,0.8223,0.80528,0.76832,0.26759,1.19589,3.66362,0.09077,0.86996,1.03541,0.00187526,0.00187526,0.00187526
65,110.811,1.22607,4.37723,0.15455,1.00548,1.00544,0.94662,1,0.98958,0.6247,0.5564,0.60015,0.44967,0.12971,1.25934,4.76184,0.07377,0.84062,1.0549,0.00187328,0.00187328,0.00187328
66,112.36,1.31351,3.9883,0.1885,1.01628,1.07259,0.95555,0.9352,0.98733,0.63891,0.61939,0.73913,0.58317,0.26991,1.26673,3.72172,0.08946,0.8328,1.06357,0.0018713,0.0018713,0.0018713
67,113.971,1.26368,3.94577,0.1549,0.98557,1.03066,0.98621,0.91304,0.98705,0.64775,0.69279,0.6087,0.56515,0.20866,1.19522,3.78548,0.08384,0.81738,1.03849,0.00186932,0.00186932,0.00186932
68,115.497,1.23425,3.94593,0.17862,0.92064,1.06247,0.98674,0.91304,0.98865,0.63797,0.82394,0.78261,0.80301,0.28321,1.26056,3.3883,0.07917,0.78026,1.0487,0.00186734,0.00186734,0.00186734
69,117.063,1.12719,3.59661,0.15264,0.95935,1.03554,0.97456,0.91304,0.98192,0.6183,0.86886,0.86443,0.87624,0.36164,1.3211,3.15589,0.09441,0.77995,1.0769,0.00186536,0.00186536,0.00186536
70,118.646,1.18664,3.4388,0.20018,0.9724,1.08269,0.94331,0.91304,0.98018,0.61773,0.89806,0.86957,0.89259,0.37172,1.35228,3.36936,0.10465,0.85368,1.08988,0.00186338,0.00186338,0.00186338
71,120.262,1.16042,3.64255,0.13214,0.95025,1.03139,0.93515,0.95652,0.98789,0.57668,0.79506,0.84378,0.81123,0.36541,1.47088,3.15742,0.07522,0.79718,1.12076,0.0018614,0.0018614,0.0018614
72,121.797,1.23619,3.94901,0.20845,0.96275,1.06028,0.95652,1,0.995,0.61015,0.95652,1,0.995,0.3977,1.26602,2.72956,0.07197,0.78554,1.08601,0.00185942,0.00185942,0.00185942
73,123.337,1.22745,3.71264,0.18931,0.95946,1.03169,0.95738,0.97704,0.99333,0.65476,0.80728,0.91071,0.85372,0.31131,1.15351,3.38325,0.06293,0.73108,1.05622,0.00185744,0.00185744,0.00185744
74,124.894,1.24441,3.32906,0.14047,0.94614,1.05354,0.94742,0.95652,0.99006,0.6528,0.77453,0.91304,0.86003,0.3257,1.15055,3.06742,0.05823,0.74031,1.03857,0.00185546,0.00185546,0.00185546
75,126.541,1.24556,3.37042,0.17884,0.88707,1.04187,1,0.9889,0.995,0.71168,0.78192,0.77959,0.78281,0.34053,1.1199,3.04852,0.05458,0.74727,1.02024,0.00185348,0.00185348,0.00185348
76,128.101,1.11052,3.21082,0.13892,0.84642,0.98981,0.98998,1,0.995,0.73265,0.81745,0.82609,0.76205,0.36052,1.1434,2.93605,0.05226,0.71749,1.0324,0.0018515,0.0018515,0.0018515
77,129.685,1.22215,2.95779,0.2008,0.87938,1.03258,0.95832,1,0.995,0.7081,0.82983,0.86957,0.84957,0.43554,1.17004,2.59239,0.05728,0.72503,1.02594,0.00184952,0.00184952,0.00184952
78,131.257,1.11808,2.85778,0.15659,0.87509,1.00282,0.94871,1,0.98417,0.73056,0.82308,0.86957,0.80863,0.38327,1.02865,2.75882,0.05214,0.66392,0.98394,0.00184754,0.00184754,0.00184754
79,132.81,1.11387,3.02417,0.1471,0.80227,1.00902,0.96907,1,0.995,0.75462,0.92175,0.95652,0.94222,0.41418,1.03586,2.51243,0.04808,0.66102,0.98256,0.00184556,0.00184556,0.00184556
80,134.349,1.12251,2.91675,0.15225,0.8537,1.04,0.99453,1,0.995,0.7141,0.95117,0.95652,0.94919,0.49429,1.10748,2.38651,0.04855,0.66271,0.99083,0.00184358,0.00184358,0.00184358
81,135.867,1.11926,2.96896,0.15666,0.85063,0.97918,0.99169,1,0.995,0.74043,0.86128,0.86957,0.77711,0.43947,1.0784,2.70129,0.04509,0.65223,1.00352,0.0018416,0.0018416,0.0018416
82,137.431,1.14108,2.77478,0.12771,0.82111,1.00749,0.9575,1,0.995,0.71529,0.8741,0.91304,0.87021,0.38419,1.11835,2.79117,0.04631,0.69269,1.02958,0.00183962,0.00183962,0.00183962
83,139.108,1.11587,2.68783,0.14294,0.84064,1.02558,0.99483,1,0.995,0.66758,0.87581,0.86957,0.84105,0.45832,1.19437,2.46058,0.05451,0.67931,1.03957,0.00183764,0.00183764,0.00183764
84,140.642,1.0724,2.60007,0.18735,0.82024,1.01105,1,0.99555,0.995,0.70216,0.90958,0.87497,0.88251,0.44234,1.03577,2.361,0.05191,0.64217,0.99903,0.00183566,0.00183566,0.00183566
85,142.181,1.0648,2.47197,0.13076,0.81191,0.99525,0.99373,1,0.995,0.69835,0.81717,0.82609,0.74095,0.38904,1.09309,2.57526,0.05646,0.66906,1.01688,0.00183368,0.00183368,0.00183368
86,143.727,1.13777,2.47419,0.15335,0.87653,1.03656,0.95455,1,0.98958,0.66073,0.90583,0.91304,0.88164,0.39078,1.16844,2.69832,0.05155,0.73138,1.02651,0.0018317,0.0018317,0.0018317
87,145.242,1.14572,2.56176,0.14683,0.84823,0.99391,0.95078,1,0.99333,0.66303,0.80103,0.78261,0.70979,0.41522,1.10951,2.59474,0.05408,0.73854,1.01643,0.00182972,0.00182972,0.00182972
88,146.809,1.1625,2.5132,0.10349,0.84501,1.00775,0.94906,1,0.99167,0.66641,0.86735,0.82609,0.85545,0.48586,1.26343,2.33191,0.04343,0.7514,1.05145,0.00182774,0.00182774,0.00182774
89,148.483,1.11651,2.549,0.10111,0.84773,1.01161,0.98723,1,0.995,0.69418,0.94353,0.95652,0.93831,0.60834,1.22095,1.99275,0.03927,0.75141,1.03316,0.00182576,0.00182576,0.00182576
90,150.129,1.15178,2.69501,0.11268,0.85793,1.00677,0.91767,1,0.99006,0.70913,0.87744,0.95652,0.93609,0.49963,1.12215,2.17845,0.03785,0.70778,0.9972,0.00182378,0.00182378,0.00182378
