epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,198.883,0.92517,0.62221,0.90807,0.99689,1,0.995,0.75837,0.95993,0.60578,0.9682,0.00174458,0.00174458,0.00174458
131,200.363,0.93772,0.62597,0.92805,0.99409,1,0.995,0.73945,1.01218,0.59861,0.97788,0.0017426,0.0017426,0.0017426
132,201.814,0.87025,0.61524,0.93289,0.99511,1,0.995,0.71985,0.94024,0.61166,0.95107,0.00174062,0.00174062,0.00174062
133,203.278,0.95849,0.64845,0.94491,0.99474,1,0.995,0.7604,0.93724,0.57458,0.94741,0.00173864,0.00173864,0.00173864
134,204.725,0.87168,0.63708,0.93466,0.99573,1,0.995,0.76928,0.86062,0.57377,0.94478,0.00173666,0.00173666,0.00173666
135,206.188,0.85913,0.60283,0.91389,0.99628,1,0.995,0.76641,0.90841,0.54125,0.95241,0.00173468,0.00173468,0.00173468
136,207.659,0.84219,0.58312,0.87644,0.99595,1,0.995,0.76709,0.91473,0.56209,0.95594,0.0017327,0.0017327,0.0017327
137,209.152,0.78744,0.5816,0.89644,0.99647,1,0.995,0.77781,0.85072,0.54579,0.94471,0.00173072,0.00173072,0.00173072
138,210.612,0.87439,0.60111,0.89154,0.99661,1,0.995,0.77845,0.84401,0.54628,0.9465,0.00172874,0.00172874,0.00172874
139,212.08,0.82589,0.56834,0.88496,0.99667,1,0.995,0.78311,0.88052,0.53352,0.9508,0.00172676,0.00172676,0.00172676
140,213.54,0.8021,0.5358,0.89069,0.99686,1,0.995,0.76737,0.89648,0.51489,0.9565,0.00172478,0.00172478,0.00172478
141,215.127,0.8986,0.59924,0.91304,0.99689,1,0.995,0.7716,0.86836,0.52417,0.94752,0.0017228,0.0017228,0.0017228
142,216.585,0.87076,0.59423,0.88239,0.9966,1,0.995,0.76935,0.87258,0.52785,0.94822,0.00172082,0.00172082,0.00172082
143,218.033,0.81653,0.59258,0.88496,0.99696,1,0.995,0.76985,0.85353,0.52218,0.93608,0.00171884,0.00171884,0.00171884
144,219.477,0.87519,0.58029,0.93797,0.99697,1,0.995,0.70277,0.96185,0.53931,0.9577,0.00171686,0.00171686,0.00171686
145,220.921,0.80263,0.5627,0.87712,0.99518,1,0.995,0.76579,0.93257,0.54019,0.95588,0.00171488,0.00171488,0.00171488
146,222.36,0.86325,0.57387,0.8897,0.9956,1,0.995,0.73955,0.95732,0.54506,0.96977,0.0017129,0.0017129,0.0017129
147,223.844,0.87905,0.58121,0.90678,0.99625,1,0.995,0.7126,0.96202,0.57067,0.98117,0.00171092,0.00171092,0.00171092
148,225.288,0.82562,0.59202,0.89006,0.99284,1,0.995,0.75468,0.93045,0.56437,0.96079,0.00170894,0.00170894,0.00170894
149,226.713,0.84182,0.57074,0.92561,0.99276,1,0.995,0.75659,0.94292,0.54064,0.95733,0.00170696,0.00170696,0.00170696
150,228.177,0.82737,0.56824,0.88513,0.99853,1,0.995,0.76985,0.92561,0.57682,0.96008,0.00170498,0.00170498,0.00170498
151,229.692,0.87763,0.58635,0.93562,0.99542,1,0.995,0.78017,0.87587,0.55136,0.94953,0.001703,0.001703,0.001703
152,231.193,0.80426,0.57089,0.89989,0.99668,1,0.995,0.77033,0.90276,0.55409,0.94887,0.00170102,0.00170102,0.00170102
153,232.688,0.77518,0.54818,0.91167,0.99689,1,0.995,0.77011,0.88023,0.56939,0.93383,0.00169904,0.00169904,0.00169904
154,234.157,0.81414,0.55549,0.87253,0.99647,1,0.995,0.75112,0.88335,0.58532,0.93468,0.00169706,0.00169706,0.00169706
155,235.597,0.74681,0.52018,0.89474,0.99526,1,0.995,0.75452,0.92848,0.58641,0.94071,0.00169508,0.00169508,0.00169508
156,237.012,0.87267,0.57796,0.90628,0.99542,1,0.995,0.77023,0.87768,0.53902,0.92977,0.0016931,0.0016931,0.0016931
